20 flow networks in flowNetworks2.txt.

** G1: |V|=100, V={0..99}
(u, v, weight) E = { 
      (95, 174,  43)
      (95, 178,  15)
      (95, 185,  77)
      (95, 186,  87)
      (95, 187,  68)
      (95, 192,  77)
      (95, 198,  55)
      (95, 232,  84)
      (96,  7,   5)
      (96,  8,  87)
      (96,  9,  79)
      (96, 23,  83)
      (96, 37,  42)
      (96, 40,  58)
      (96, 46,  36)
      (96, 63,  63)
      (96, 66,   2)
      (96, 68,  26)
      (96, 70,  74)
      (96, 76,  10)
      (96, 90,  23)
      (96, 93,  64)
      (96, 108,  18)
      (96, 109,  86)
      (96, 131,  90)
      (96, 135,  72)
      (96, 140,   3)
      (96, 145,  44)
      (96, 152,  64)
      (96, 157,  33)
      (96, 169,  20)
      (96, 186,  78)
      (96, 194,  80)
      (96, 222,   9)
      (96, 228,   9)
      (96, 245,  38)
      (97,  2,  19)
      (97, 10,  18)
      (97, 16,  87)
      (97, 24,  57)
      (97, 28,  19)
      (97, 51,  28)
      (97, 57,  78)
      (97, 64,  69)
      (97, 73,  37)
      (97, 78,  50)
      (97, 85,  97)
      (97, 90,  90)
      (97, 93,  16)
      (97, 102,  77)
      (97, 106,  77)
      (97, 135,  86)
      (97, 144,   2)
      (97, 145,  11)
      (97, 170,  89)
      (97, 176,  30)
      (97, 185,  30)
      (97, 193,  96)
      (97, 195,  19)
      (97, 197,  28)
      (97, 206,   0)
      (97, 211,  90)
      (97, 216,  57)
      (97, 217,  16)
      (97, 222,  79)
      (97, 243,   6)
      (98,  2,   4)
      (98,  3,  78)
      (98,  8,  76)
      (98, 11,  78)
      (98, 14,  42)
      (98, 29,  20)
      (98, 30,  81)
      (98, 43,  13)
      (98, 44,  55)
      (98, 61,  94)
      (98, 69,  16)
      (98, 101,  19)
      (98, 133,  21)
      (98, 144,  33)
      (98, 168,  51)
      (98, 172,  39)
      (98, 193,  42)
      (98, 201,  16)
      (98, 209,  92)
      (98, 216,   5)
      (98, 231,  68)
      (98, 234,  14)
      (98, 238,  36)
      (98, 244,  73)
      (99, 14,  17)
      (99, 22,  72)
      (99, 55,  44)
      (99, 66,  20)
      (99, 67,  69)
      (99, 72,  61)
      (99, 78,  32)
      (99, 83,  36)
      (99, 97,  82)
      (99, 103,  27)
      (99, 123,  56)
      (99, 125,  87)
      (99, 129,  54)
      (99, 130,  17)
      (99, 131,  53)
      (99, 154,  72)
      (99, 155,  37)
      (99, 186,   7)
      (99, 194,  74)
      (99, 199,  97)
      (99, 208,  57)
      (99, 210,  91)
      (99, 218,  70)
      (99, 220,  44)
      (99, 233,  94)
      (99, 243,  82)
      (99, 248,  88)
      (100,  4,  48)
      (100, 15,  41)
      (100, 21,  79)
      (100, 27,  44)
      (100, 39,  51)
      (100, 60,  86)
      (100, 76,  78)
      (100, 85,  24)
      (100, 89,  57)
      (100, 96,  87)
      (100, 126,  78)
      (100, 134,  53)
      (100, 142,  63)
      (100, 205,  23)
      (100, 216,  46)
      (100, 225,  61)
      (100, 231,  50)
      (100, 237,  11)
      (100, 245,  65)
      (100, 249,  23)
      (101, 14,  96)
      (101, 22,  42)
      (101, 30,  76)
      (101, 36,   7)
      (101, 52,  26)
      (101, 59,   7)
      (101, 65,  73)
      (101, 70,   0)
      (101, 81,  44)
      (101, 124,  60)
      (101, 127,  73)
      (101, 132,  50)
      (101, 146,  63)
      (101, 155,  79)
      (101, 157,  39)
      (101, 160,  70)
      (101, 185,  62)
      (101, 188,  89)
      (101, 209,  16)
      (101, 210,  38)
      (101, 212,  40)
      (101, 217,  13)
      (101, 222,  62)
      (101, 229,   1)
      (101, 235,   5)
      (101, 249,  27)
      (102,  2,  66)
      (102,  5,  70)
      (102, 10,  75)
      (102, 13,   1)
      (102, 17,  49)
      (102, 18,  91)
      (102, 39,  49)
      (102, 55,  72)
      (102, 76,  54)
      (102, 79,   5)
      (102, 83,  74)
      (102, 90,  34)
      (102, 97,   9)
      (102, 100,  80)
      (102, 101,  69)
      (102, 112,  66)
      (102, 137,  26)
      (102, 171,  23)
      (102, 172,  31)
      (102, 181,  28)
      (102, 184,  79)
      (102, 185,   4)
      (102, 191,  72)
      (102, 213,  60)
      (102, 218,  52)
      (102, 220,  89)
      (102, 228,  61)
      (102, 234,  55)
      (103,  5,  18)
      (103, 27,  70)
      (103, 31,  41)
      (103, 35,   1)
      (103, 46,  28)
      (103, 47,  96)
      (103, 48,   7)
      (103, 64,  37)
      (103, 79,  52)
      (103, 89,  91)
      (103, 121,  65)
      (103, 131,  56)
      (103, 149,  71)
      (103, 164,  11)
      (103, 178,  83)
      (103, 183,  53)
      (103, 187,  35)
      (103, 200,  18)
      (103, 205,  31)
      (103, 208,  86)
      (103, 217,  43)
      (103, 218,  59)
      (103, 224,  76)
      (103, 235,   7)
      (104, 11,  50)
      (104, 29,  13)
      (104, 34,  37)
      (104, 38,  64)
      (104, 45,  41)
      (104, 47,   2)
      (104, 50,  28)
      (104, 60,  68)
      (104, 70,  50)
      (104, 94,  32)
      (104, 100,  19)
      (104, 107,  23)
      (104, 115,  85)
      (104, 119,  89)
      (104, 122,  94)
      (104, 126,   3)
      (104, 133,  88)
      (104, 149,  93)
      (104, 162,  54)
      (104, 175,  47)
      (104, 184,  70)
      (104, 186,   9)
      (104, 193,  89)
      (104, 194,  20)
      (104, 207,  71)
      (104, 218,  77)
      (104, 224,  94)
      (104, 230,  37)
      (104, 232,  88)
      (104, 237,  65)
      (104, 239,  61)
      (105, 34,  94)
      (105, 43,  49)
      (105, 51,  18)
      (105, 65,  76)
      (105, 66,  26)
      (105, 75,  49)
      (105, 83,  26)
      (105, 97,  97)
      (105, 104,  92)
      (105, 116,  93)
      (105, 121,  22)
      (105, 124,  90)
      (105, 129,  36)
      (105, 146,  98)
      (105, 170,  48)
      (105, 184,  20)
      (105, 185,  80)
      (105, 188,  67)
      (105, 192,  84)
      (105, 226,  86)
      (106, 17,  42)
      (106, 20,  21)
      (106, 39,  66)
      (106, 45,  62)
      (106, 51,  84)
      (106, 64,  90)
      (106, 69,  30)
      (106, 92,  43)
      (106, 114,  79)
      (106, 140,   4)
      (106, 148,  82)
      (106, 155,  85)
      (106, 165,  50)
      (106, 171,  89)
      (106, 191,  17)
      (106, 211,  80)
      (106, 217,  52)
      (106, 218,  21)
      (106, 234,   9)
      (106, 242,  86)
      (107, 35,  60)
      (107, 55,  32)
      (107, 56,  36)
      (107, 62,  49)
      (107, 64,  12)
      (107, 67,  71)
      (107, 68,  79)
      (107, 69,  31)
      (107, 74,  15)
      (107, 93,  60)
      (107, 97,  97)
      (107, 100,  27)
      (107, 101,  87)
      (107, 116,  79)
      (107, 117,  46)
      (107, 119,   8)
      (107, 139,  22)
      (107, 140,  52)
      (107, 145,  34)
      (107, 146,   5)
      (107, 157,   4)
      (107, 180,  91)
      (107, 183,  28)
      (107, 201,  84)
      (107, 227,  20)
      (107, 234,  40)
      (107, 243,   6)
      (108,  6,  11)
      (108, 15,  86)
      (108, 29,  94)
      (108, 45,   9)
      (108, 74,  64)
      (108, 77,  29)
      (108, 78,  94)
      (108, 91,  94)
      (108, 104,  50)
      (108, 107,  87)
      (108, 110,  89)
      (108, 127,  85)
      (108, 130,  28)
      (108, 138,  47)
      (108, 150,  96)
      (108, 154,  24)
      (108, 165,  65)
      (108, 173,  74)
      (108, 175,  31)
      (108, 177,  76)
      (108, 182,  93)
      (108, 186,  52)
      (108, 192,  52)
      (108, 197,  58)
      (108, 240,  16)
      (108, 245,  25)
      (109, 19,  92)
      (109, 21,  48)
      (109, 33,  54)
      (109, 70,  55)
      (109, 72,   0)
      (109, 86,  89)
      (109, 90,   1)
      (109, 103,  24)
      (109, 108,  85)
      (109, 142,  64)
      (109, 154,  27)
      (109, 156,  69)
      (109, 159,  41)
      (109, 175,  41)
      (109, 179,  94)
      (109, 184,  91)
      (109, 185,  73)
      (109, 190,   1)
      (109, 193,  70)
      (109, 201,  10)
      (109, 202,  95)
      (109, 214,  34)
      (109, 218,  30)
      (109, 222,  34)
      (109, 229,  51)
      (109, 239,  16)
      (109, 240,  83)
      (109, 246,  20)
      (110, 13,  69)
      (110, 15,  52)
      (110, 20,  77)
      (110, 30,  26)
      (110, 33,  64)
      (110, 46,  58)
      (110, 56,  56)
      (110, 63,  43)
      (110, 70,   9)
      (110, 74,  73)
      (110, 85,  43)
      (110, 92,  61)
      (110, 112,  46)
      (110, 120,  90)
      (110, 125,  92)
      (110, 127,  97)
      (110, 128,  85)
      (110, 168,  43)
      (110, 176,   0)
      (110, 178,   4)
      (110, 183,  84)
      (110, 185,  14)
      (110, 215,   5)
      (110, 219,  83)
      (110, 223,  68)
      (110, 224,   8)
      (110, 235,  35)
      (110, 237,  92)
      (110, 240,   7)
      (110, 246,  69)
      (111,  3,  90)
      (111, 14,   0)
      (111, 17,  36)
      (111, 24,  35)
      (111, 28,  32)
      (111, 29,  54)
      (111, 62,  33)
      (111, 81,  97)
      (111, 93,  68)
      (111, 97,  86)
      (111, 105,  18)
      (111, 114,  77)
      (111, 117,  97)
      (111, 123,  24)
      (111, 130,  37)
      (111, 139,   9)
      (111, 145,  78)
      (111, 156,  16)
      (111, 161,  97)
      (111, 207,   2)
      (111, 214,  64)
      (112, 17,  42)
      (112, 47,  89)
      (112, 50,  79)
      (112, 60,  10)
      (112, 61,  61)
      (112, 65,  47)
      (112, 77,  20)
      (112, 79,   3)
      (112, 105,  77)
      (112, 116,  83)
      (112, 121,  78)
      (112, 125,  43)
      (112, 139,  16)
      (112, 143,  36)
      (112, 157,  69)
      (112, 163,  53)
      (112, 173,  16)
      (112, 189,  15)
      (113, 48,  22)
      (113, 49,  38)
      (113, 88,  37)
      (113, 116,  90)
      (113, 126,  60)
      (113, 129,  27)
      (113, 139,  46)
      (113, 143,  67)
      (113, 159,  25)
      (113, 161,  47)
      (113, 175,  52)
      (113, 178,  43)
      (113, 182,  44)
      (113, 189,  75)
      (113, 206,  89)
      (113, 209,  29)
      (113, 227,  32)
      (113, 228,  29)
      (113, 229,  84)
      (113, 248,  40)
      (114,  1,  50)
      (114,  6,  43)
      (114, 11,  21)
      (114, 38,  23)
      (114, 49,  60)
      (114, 56,  34)
      (114, 75,  78)
      (114, 79,  33)
      (114, 92,   6)
      (114, 115,  98)
      (114, 120,  17)
      (114, 136,   5)
      (114, 151,  87)
      (114, 156,  18)
      (114, 164,  71)
      (114, 182,  84)
      (114, 185,  48)
      (114, 187,  57)
      (114, 203,  40)
      (114, 214,  20)
      (114, 222,  50)
      (114, 223,   5)
      (114, 235,  79)
      (114, 236,  19)
      (114, 243,  17)
      (115,  2,  56)
      (115,  5,  43)
      (115, 15,   3)
      (115, 19,  52)
      (115, 23,  55)
      (115, 34,  12)
      (115, 52,  72)
      (115, 78,  72)
      (115, 82,  73)
      (115, 92,  68)
      (115, 93,  28)
      (115, 98,  12)
      (115, 106,  91)
      (115, 110,  66)
      (115, 116,   2)
      (115, 122,  67)
      (115, 124,  77)
      (115, 133,  10)
      (115, 142,  76)
      (115, 146,  19)
      (115, 156,  77)
      (115, 172,  24)
      (115, 174,  20)
      (115, 197,  87)
      (115, 199,  72)
      (115, 203,  95)
      (115, 229,  52)
      (115, 230,  64)
      (115, 245,  69)
      (115, 246,  96)
      (116,  9,  45)
      (116, 12,  58)
      (116, 31,  95)
      (116, 36,  93)
      (116, 42,  41)
      (116, 45,  18)
      (116, 53,  73)
      (116, 63,  85)
      (116, 69,  46)
      (116, 86,  75)
      (116, 92,  27)
      (116, 105,   9)
      (116, 111,  32)
      (116, 121,  40)
      (116, 130,  89)
      (116, 133,  33)
      (116, 145,  65)
      (116, 159,  75)
      (116, 167,  29)
      (116, 172,  45)
      (116, 176,  93)
      (116, 183,  56)
      (116, 203,  50)
      (116, 205,  75)
      (116, 240,  56)
      (116, 241,  27)
      (117,  8,  12)
      (117,  9,  37)
      (117, 27,  15)
      (117, 30,  62)
      (117, 41,  53)
      (117, 49,  86)
      (117, 53,   7)
      (117, 61,  76)
      (117, 63,  96)
      (117, 72,  24)
      (117, 76,  55)
      (117, 86,  62)
      (117, 88,  52)
      (117, 95,  30)
      (117, 101,   0)
      (117, 143,  34)
      (117, 158,  59)
      (117, 160,   7)
      (117, 164,  42)
      (117, 166,  78)
      (117, 168,  94)
      (117, 174,   9)
      (117, 186,  49)
      (117, 194,  52)
      (117, 196,  35)
      (117, 198,  88)
      (117, 218,  74)
      (117, 225,  19)
      (117, 236,  82)
      (117, 244,  98)
      (117, 249,  52)
      (118,  9,  36)
      (118, 31,   8)
      (118, 33,  78)
      (118, 44,  37)
      (118, 47,  18)
      (118, 48,  13)
      (118, 72,  15)
      (118, 74,   5)
      (118, 91,  98)
      (118, 93,  16)
      (118, 97,  25)
      (118, 109,  10)
      (118, 116,  36)
      (118, 123,  82)
      (118, 154,   1)
      (118, 157,  62)
      (118, 163,  14)
      (118, 164,  47)
      (118, 171,  54)
      (118, 173,  43)
      (118, 177,  81)
      (118, 191,  86)
      (118, 201,  33)
      (118, 223,  86)
      (118, 240,  88)
      (118, 245,  97)
      (118, 249,  49)
      (119, 23,   0)
      (119, 24,  51)
      (119, 25,  98)
      (119, 26,  27)
      (119, 39,  57)
      (119, 44,  35)
      (119, 47,  27)
      (119, 49,  97)
      (119, 63,  46)
      (119, 73,  31)
      (119, 78,  91)
      (119, 80,  70)
      (119, 93,  46)
      (119, 96,  64)
      (119, 99,  66)
      (119, 151,   3)
      (119, 155,  79)
      (119, 163,   8)
      (119, 176,  78)
      (119, 181,  57)
      (119, 183,  66)
      (119, 186,  48)
      (119, 208,  10)
      (119, 212,  19)
      (119, 216,  58)
      (119, 226,  99)
      (119, 232,  32)
      (119, 239,  76)
      (120,  3,  97)
      (120,  8,  31)
      (120,  9,   8)
      (120, 11,  91)
      (120, 39,  64)
      (120, 40,  41)
      (120, 41,  32)
      (120, 54,  78)
      (120, 59,  51)
      (120, 76,  89)
      (120, 80,  95)
      (120, 95,  42)
      (120, 97,  64)
      (120, 104,   3)
      (120, 107,  27)
      (120, 116,   1)
      (120, 117,  85)
      (120, 121,  87)
      (120, 129,  49)
      (120, 163,  18)
      (120, 173,  85)
      (120, 174,  89)
      (120, 176,  32)
      (120, 186,  98)
      (120, 212,  41)
      (120, 217,  24)
      (120, 226,  78)
      (120, 237,  34)
      (120, 239,  31)
      (120, 243,  29)
      (121,  7,  76)
      (121, 12,  26)
      (121, 13,  52)
      (121, 25,  55)
      (121, 28,  97)
      (121, 47,  59)
      (121, 59,  67)
      (121, 60,   3)
      (121, 62,  63)
      (121, 74,  85)
      (121, 76,  20)
      (121, 85,  60)
      (121, 87,  59)
      (121, 115,  18)
      (121, 117,  62)
      (121, 136,  68)
      (121, 146,  13)
      (121, 158,  10)
      (121, 178,   2)
      (121, 183,  43)
      (121, 195,  39)
      (121, 208,  82)
      (121, 215,  22)
      (121, 232,  33)
      (121, 239,  82)
      (121, 246,  51)
      (122,  6,   2)
      (122,  9,  47)
      (122, 10,  40)
      (122, 15,  83)
      (122, 16,  72)
      (122, 18,  35)
      (122, 20,   0)
      (122, 33,   9)
      (122, 46,  19)
      (122, 58,  95)
      (122, 96,  67)
      (122, 98,  64)
      (122, 106,  16)
      (122, 119,  67)
      (122, 137,  26)
      (122, 148,  89)
      (122, 156,  58)
      (122, 180,  40)
      (122, 184,  48)
      (122, 185,  84)
      (122, 193,   4)
      (122, 208,   0)
      (122, 210,  56)
      (122, 218,  69)
      (122, 219,  85)
      (122, 227,  67)
      (122, 237,   7)
      (122, 240,  85)
      (123,  1,  96)
      (123,  4,  28)
      (123,  9,  55)
      (123, 17,  64)
      (123, 23,  13)
      (123, 25,  87)
      (123, 26,  62)
      (123, 31,  64)
      (123, 34,   6)
      (123, 56,  69)
      (123, 71,  86)
      (123, 83,  15)
      (123, 98,  25)
      (123, 99,  14)
      (123, 104,  61)
      (123, 112,  40)
      (123, 114,  57)
      (123, 118,  71)
      (123, 140,  73)
      (123, 143,   8)
      (123, 173,  46)
      (123, 174,  30)
      (123, 175,  36)
      (123, 178,  46)
      (123, 184,  83)
      (123, 200,  19)
      (123, 209,  11)
      (123, 218,  69)
      (123, 224,  31)
      (123, 227,  48)
      (123, 235,  55)
      (123, 242,  26)
      (123, 249,  29)
      (124, 13,  50)
      (124, 22,  41)
      (124, 26,  78)
      (124, 27,  91)
      (124, 50,  82)
      (124, 57,  66)
      (124, 76,   4)
      (124, 79,  82)
      (124, 93,  11)
      (124, 116,  85)
      (124, 132,  90)
      (124, 155,  70)
      (124, 161,  31)
      (124, 164,  67)
      (124, 167,  23)
      (124, 180,  38)
      (124, 192,  29)
      (124, 200,  11)
      (124, 219,  14)
      (124, 221,  79)
      (124, 230,   5)
      (124, 237,  15)
      (124, 238,  15)
      (124, 249,  62)
      (125, 11,  57)
      (125, 38,  76)
      (125, 42,  99)
      (125, 50,  98)
      (125, 67,  18)
      (125, 79,  16)
      (125, 80,  61)
      (125, 92,  11)
      (125, 107,  77)
      (125, 110,  76)
      (125, 126,  75)
      (125, 132,   7)
      (125, 141,  72)
      (125, 142,  12)
      (125, 143,  76)
      (125, 154,  89)
      (125, 155,  39)
      (125, 158,  72)
      (125, 160,  54)
      (125, 179,  83)
      (125, 186,  13)
      (125, 200,  77)
      (125, 203,  61)
      (125, 209,   6)
      (125, 219,  69)
      (125, 242,  32)
      (125, 243,  90)
      (125, 246,   9)
      (125, 247,  84)
      (125, 248,   2)
      (126, 21,  89)
      (126, 41,  17)
      (126, 56,  47)
      (126, 64,  58)
      (126, 72,  49)
      (126, 73,  50)
      (126, 75,  12)
      (126, 79,  84)
      (126, 89,  94)
      (126, 101,  70)
      (126, 129,  50)
      (126, 131,  12)
      (126, 156,  21)
      (126, 189,  14)
      (126, 193,  34)
      (126, 202,   1)
      (126, 208,  96)
      (126, 210,   8)
      (126, 214,   5)
      (126, 215,   5)
      (126, 224,  90)
      (127,  1,  61)
      (127,  8,  13)
      (127, 28,   6)
      (127, 29,  24)
      (127, 47,  91)
      (127, 49,  25)
      (127, 56,  98)
      (127, 68,  58)
      (127, 73,   2)
      (127, 74,  83)
      (127, 94,  94)
      (127, 101,  62)
      (127, 109,  49)
      (127, 112,  16)
      (127, 130,  77)
      (127, 135,  26)
      (127, 145,  37)
      (127, 149,  55)
      (127, 158,  54)
      (127, 159,  90)
      (127, 165,   5)
      (127, 166,  50)
      (127, 185,  39)
      (127, 190,   7)
      (127, 199,  74)
      (127, 200,  88)
      (127, 204,  51)
      (127, 207,  99)
      (127, 222,  55)
      (127, 232,  33)
      (127, 234,  47)
      (127, 248,  50)
      (128,  8,  94)
      (128, 15,  21)
      (128, 30,  38)
      (128, 41,  92)
      (128, 43,  76)
      (128, 47,  69)
      (128, 54,  18)
      (128, 64,   6)
      (128, 83,  22)
      (128, 94,   8)
      (128, 100,  53)
      (128, 112,  32)
      (128, 116,  22)
      (128, 127,  29)
      (128, 135,  64)
      (128, 145,  61)
      (128, 151,  41)
      (128, 163,  41)
      (128, 183,  79)
      (128, 189,  74)
      (128, 190,  46)
      (128, 191,  84)
      (128, 198,  49)
      (128, 203,   7)
      (128, 204,   5)
      (128, 205,  62)
      (128, 231,  26)
      (128, 232,  77)
      (128, 233,   1)
      (128, 242,  96)
      (128, 243,   2)
      (129,  6,  82)
      (129,  8,  75)
      (129,  9,  36)
      (129, 40,  67)
      (129, 53,  82)
      (129, 64,  51)
      (129, 72,  78)
      (129, 85,  76)
      (129, 91,  11)
      (129, 93,  32)
      (129, 105,   9)
      (129, 113,  61)
      (129, 118,  72)
      (129, 125,  73)
      (129, 152,  21)
      (129, 182,  15)
      (129, 188,  92)
      (129, 194,  55)
      (129, 195,  27)
      (129, 199,  73)
      (129, 217,  54)
      (129, 221,  28)
      (129, 227,  43)
      (129, 243,   9)
      (129, 246,  54)
      (130,  2,  12)
      (130, 22,  72)
      (130, 46,   4)
      (130, 67,  67)
      (130, 89,  62)
      (130, 98,  38)
      (130, 103,   7)
      (130, 104,  91)
      (130, 108,  34)
      (130, 116,  14)
      (130, 124,  71)
      (130, 128,  31)
      (130, 158,  37)
      (130, 178,  42)
      (130, 212,  99)
      (130, 226,  83)
      (130, 227,  46)
      (130, 245,  39)
      (130, 247,   7)
      (131, 22,  70)
      (131, 24,  41)
      (131, 37,  79)
      (131, 48,  97)
      (131, 49,  64)
      (131, 55,  49)
      (131, 76,  19)
      (131, 81,  73)
      (131, 83,  57)
      (131, 111,  62)
      (131, 113,  83)
      (131, 114,   6)
      (131, 124,   1)
      (131, 129,  41)
      (131, 159,  39)
      (131, 160,  95)
      (131, 169,  67)
      (131, 190,  99)
      (131, 194,   4)
      (131, 198,  28)
      (131, 206,  33)
      (131, 207,  19)
      (131, 218,  33)
      (131, 221,  14)
      (131, 230,   4)
      (131, 238,  90)
      (131, 243,  37)
      (132, 12,  19)
      (132, 13,   2)
      (132, 15,  69)
      (132, 16,  56)
      (132, 33,  37)
      (132, 89,  99)
      (132, 97,  66)
      (132, 99,  66)
      (132, 107,  83)
      (132, 117,  10)
      (132, 118,  82)
      (132, 119,  90)
      (132, 151,  80)
      (132, 183,   0)
      (132, 192,  88)
      (132, 193,  31)
      (132, 197,  31)
      (132, 223,   6)
      (132, 228,  72)
      (132, 239,  43)
      (132, 242,  37)
      (133, 10,  40)
      (133, 11,  56)
      (133, 17,  83)
      (133, 42,  72)
      (133, 45,  26)
      (133, 52,  36)
      (133, 60,  38)
      (133, 64,  55)
      (133, 74,  54)
      (133, 89,  70)
      (133, 92,  32)
      (133, 100,  63)
      (133, 105,  69)
      (133, 126,  87)
      (133, 132,  25)
      (133, 137,  87)
      (133, 143,  91)
      (133, 145,   3)
      (133, 162,  72)
      (133, 164,  19)
      (133, 165,  97)
      (133, 171,  11)
      (133, 183,  37)
      (133, 199,  13)
      (133, 207,  11)
      (133, 220,  55)
      (133, 224,  33)
      (133, 225,  40)
      (133, 241,  77)
      (133, 244,   1)
      (133, 245,  90)
      (133, 246,  12)
      (133, 247,  98)
      (134, 13,   9)
      (134, 21,  45)
      (134, 36,   6)
      (134, 41,  23)
      (134, 45,   6)
      (134, 79,  17)
      (134, 83,  81)
      (134, 87,  84)
      (134, 88,  35)
      (134, 125,  78)
      (134, 127,   1)
      (134, 128,  61)
      (134, 135,  76)
      (134, 148,  70)
      (134, 152,  23)
      (134, 166,  34)
      (134, 169,  87)
      (134, 177,  64)
      (134, 179,  73)
      (134, 183,  83)
      (134, 195,   1)
      (134, 202,  46)
      (134, 216,  83)
      (134, 226,  18)
      (134, 235,  32)
      (134, 236,  98)
      (135,  9,  31)
      (135, 11,  72)
      (135, 30,  46)
      (135, 46,  79)
      (135, 54,  17)
      (135, 61,  42)
      (135, 65,   0)
      (135, 70,  43)
      (135, 71,   6)
      (135, 89,  19)
      (135, 95,  95)
      (135, 104,  95)
      (135, 107,  22)
      (135, 114,  11)
      (135, 141,  26)
      (135, 142,  44)
      (135, 144,  41)
      (135, 152,  11)
      (135, 157,  74)
      (135, 175,   8)
      (135, 188,  33)
      (135, 189,  79)
      (135, 207,  72)
      (135, 209,  63)
      (135, 210,   3)
      (135, 218,  54)
      (135, 230,   4)
      (136,  1,  99)
      (136, 11,  25)
      (136, 12,  68)
      (136, 14,  12)
      (136, 19,  54)
      (136, 36,  26)
      (136, 38,  76)
      (136, 44,  71)
      (136, 52,  28)
      (136, 61,  99)
      (136, 63,  66)
      (136, 74,  99)
      (136, 80,   9)
      (136, 86,   1)
      (136, 87,  40)
      (136, 89,   9)
      (136, 90,  86)
      (136, 94,  13)
      (136, 111,  34)
      (136, 120,  19)
      (136, 127,  88)
      (136, 129,  20)
      (136, 153,  37)
      (136, 186,  53)
      (136, 204,  36)
      (136, 208,  36)
      (136, 210,  90)
      (136, 211,  25)
      (136, 218,  75)
      (136, 248,   8)
      (137,  9,  23)
      (137, 11,  19)
      (137, 17,  61)
      (137, 24,  99)
      (137, 53,  96)
      (137, 59,  72)
      (137, 65,  59)
      (137, 86,   8)
      (137, 91,  89)
      (137, 96,  82)
      (137, 122,  62)
      (137, 155,  91)
      (137, 157,  60)
      (137, 160,   8)
      (137, 198,  42)
      (137, 201,  66)
      (137, 221,  61)
      (137, 230,  31)
      (137, 244,   3)
      (138, 14,  93)
      (138, 34,  58)
      (138, 46,  95)
      (138, 59,  85)
      (138, 63,  30)
      (138, 76,  83)
      (138, 90,  12)
      (138, 100,  61)
      (138, 103,  38)
      (138, 118,  34)
      (138, 123,  49)
      (138, 142,  93)
      (138, 144,  18)
      (138, 146,  80)
      (138, 153,  80)
      (138, 154,  75)
      (138, 160,  17)
      (138, 177,  43)
      (138, 181,  57)
      (138, 187,  66)
      (138, 193,  80)
      (138, 194,   6)
      (138, 210,  74)
      (138, 247,  37)
      (139, 13,  74)
      (139, 25,  37)
      (139, 92,  18)
      (139, 93,  69)
      (139, 110,   9)
      (139, 111,   2)
      (139, 129,  72)
      (139, 143,  75)
      (139, 154,  67)
      (139, 172,  19)
      (139, 225,  51)
      (139, 227,  26)
      (139, 240,  74)
      (140,  4,  40)
      (140, 13,  70)
      (140, 25,  52)
      (140, 30,   0)
      (140, 48,  93)
      (140, 58,  68)
      (140, 75,  33)
      (140, 91,  89)
      (140, 93,  35)
      (140, 94,  83)
      (140, 105,  37)
      (140, 116,  14)
      (140, 120,   6)
      (140, 142,   9)
      (140, 145,  37)
      (140, 156,  49)
      (140, 159,  83)
      (140, 187,  63)
      (140, 189,  59)
      (140, 194,  12)
      (140, 221,  52)
      (140, 227,   8)
      (140, 242,  23)
      (140, 249,  69)
      (141,  5,  12)
      (141, 17,  64)
      (141, 21,  70)
      (141, 23,  45)
      (141, 35,  17)
      (141, 49,  55)
      (141, 50,   5)
      (141, 71,  20)
      (141, 75,  37)
      (141, 88,   1)
      (141, 100,  62)
      (141, 116,  28)
      (141, 126,   0)
      (141, 133,   9)
      (141, 134,   7)
      (141, 139,  73)
      (141, 143,  31)
      (141, 144,  66)
      (141, 151,  85)
      (141, 159,  71)
      (141, 162,  17)
      (141, 176,  75)
      (141, 201,  11)
      (141, 210,  42)
      (141, 220,  85)
      (141, 248,  26)
      (142,  2,  92)
      (142,  5,  12)
      (142, 30,   0)
      (142, 36,  22)
      (142, 42,   6)
      (142, 52,  53)
      (142, 60,  10)
      (142, 68,  70)
      (142, 72,  77)
      (142, 104,  32)
      (142, 112,  69)
      (142, 116,  40)
      (142, 137,  65)
      (142, 139,  90)
      (142, 148,  71)
      (142, 150,  77)
      (142, 162,  57)
      (142, 188,  86)
      (142, 190,  32)
      (142, 202,  84)
      (142, 204,  78)
      (142, 211,  50)
      (142, 229,  56)
      (142, 242,  20)
      (143,  9,  12)
      (143, 16,  54)
      (143, 29,  27)
      (143, 40,  98)
      (143, 45,  82)
      (143, 55,   3)
      (143, 74,  48)
      (143, 86,   6)
      (143, 91,  38)
      (143, 93,  28)
      (143, 98,  94)
      (143, 99,  22)
      (143, 122,  84)
      (143, 126,  37)
      (143, 134,   9)
      (143, 151,  34)
      (143, 169,  48)
      (143, 173,  68)
      (143, 212,  49)
      (143, 214,  18)
      (143, 216,  30)
      (143, 233,  35)
      (143, 242,  36)
      (143, 249,   4)
      (144,  7,  19)
      (144,  9,  40)
      (144, 15,  21)
      (144, 28,  42)
      (144, 31,   4)
      (144, 40,  75)
      (144, 61,  13)
      (144, 96,  10)
      (144, 103,  93)
      (144, 111,   6)
      (144, 121,  93)
      (144, 126,  10)
      (144, 130,  43)
      (144, 131,  40)
      (144, 152,  87)
      (144, 159,  16)
      (144, 164,  77)
      (144, 183,  43)
      (144, 188,  69)
      (144, 189,  71)
      (144, 198,  91)
      (144, 200,  71)
      (144, 222,  92)
      (144, 231,  35)
      (145,  3,   4)
      (145,  8,  81)
      (145, 26,  65)
      (145, 50,  68)
